Key	Predicted Flatness Score	if_kag
2ClCoMoO4-1	0.936525	0
2SrCl2-2	0.936516	0
2OsBr3-1	0.93648	0
2BaAs2O6-1	0.936478	0
2NiCl2O6-1	0.936424	0
2YF3-1	0.936268	0
2CoCl2Sb2O3-1	0.936241	0
1SrSb2F12-1	0.936194	1
1GaNaAs2O6-1	0.935955	1
2CrCuO4-1	0.935393	0
2RbC2-1	0.93539	0
2HAs3O6-1	0.935342	0
2InF3-1	0.935202	0
2CdNa2Br4-1	0.935189	0
2SbBr3-1	0.935152	0
2SrPb2Cl6-1	0.934974	0
2BrCoWO4-1	0.934848	0
2AsSbO4-2	0.934764	0
1NiZrF6-1	0.934671	0
1AlNaP2O6-1	0.934652	0
1FeSb2F12-1	0.934613	0
2InTlF4-1	0.934498	0
2CoBi2Cl2O3-1	0.934421	0
1BaBi2F12-1	0.934408	1
1AlNaAs2O6-1	0.934238	1
1SrF2-3	0.934071	0
2YBr3-1	0.934019	0
2ClRbO3-1	0.933916	0
1AlLiCl4O12-1	0.933871	0
2CNNaSe-1	0.933787	0
1FSbS2O6-1	0.933553	1
2SrF2O4-1	0.933476	0
2SnTeO4-1	0.933262	0
1BrCu-1	0.933133	0
2AsFSeO5-1	0.932939	0
1GaNaSb2O6-1	0.932823	1
2BaP2O6-1	0.932655	0
2RhBr3-1	0.932596	0
2FeCl3-2	0.932456	0
2PbSbO3-2	0.932422	1
1Bi2Sn3O9-1	0.932239	1
4ClCu-1	0.932227	1
1Ag3I5-1	0.932001	0
2NNaRuO2Cl4-1	0.931886	0
2FGaTeO4-1	0.931731	0
1MgLi2S2F4O8-1	0.931671	1
2IKCl4-1	0.9316	0
2NOsRbSCl5-1	0.931002	0
1Cl2Se2V2O7-1	0.930968	0
1MnAs2F12-1	0.930958	0
2CrF3-2	0.930894	0
2FeI3-3	0.930883	1
2NORbRuCl5-1	0.930357	0
2AlFTeO4-1	0.930318	0
2CuBr3-1	0.930176	0
2MnBr3-1	0.92996	0
2CsNO3-1	0.929902	0
1NaPdP2S6-1	0.929831	0
2AsFTeO5-1	0.929633	0
2AsKO2F4-1	0.929554	0
1AuGaSb2O6-1	0.929522	0
2FPbSbO3-1	0.929219	0
1SNb3I7-1	0.929217	1
